# OSU MPI-ROCM Bandwidth Test v5.7
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
2                       1.28
4                       2.58
8                       5.16
16                     10.33
32                     20.68
64                     30.24
128                    81.66
256                    88.83
512                    30.55
1024                   55.90
2048                  100.24
4096                  167.78
8192                  331.54
16384                 329.52
32768                 329.68
65536                 324.59
131072                326.64
262144              19082.32
524288              31382.05
1048576             43347.62
2097152             57732.98
4194304             69593.48
8388608             74150.02
16777216            76473.62
33554432            77615.40
67108864            77884.05
134217728           77801.08
268435456           77382.48
