# OSU MPI-ROCM Bandwidth Test v5.7
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
2                       1.31
4                       2.62
8                       5.18
16                     10.39
32                     20.78
64                     28.00
128                    83.25
256                    83.49
512                    30.53
1024                   55.98
2048                  100.53
4096                  172.36
8192                  332.29
16384                 331.38
32768                 332.24
65536                 327.15
131072                327.30
262144              21825.24
524288              38902.13
1048576             59082.47
2097152             82918.98
4194304            117998.06
8388608            132544.98
16777216           142825.57
33554432           148593.51
67108864           151265.76
134217728          152144.88
268435456          152132.34
