# OSU MPI-ROCM Bandwidth Test v5.7
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
2                      29.24
4                      59.10
8                     113.70
16                    235.10
32                    400.83
64                    846.54
128                  1327.87
256                   339.89
512                   675.34
1024                 1351.33
2048                 2644.16
4096                 5149.32
8192                 7802.23
16384               11689.15
32768               14123.71
65536               17473.86
131072              19143.33
262144              19395.16
524288              19997.80
1048576             19981.59
2097152             20018.95
4194304             20158.69
8388608             19590.61
16777216            15492.80
33554432            11547.56
67108864            10272.55
134217728            9822.17
268435456            9264.88
