# OSU MPI-ROCM Latency Test v5.7
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
2                       3.00
4                       3.00
8                       3.13
16                      3.00
32                      3.00
64                      3.66
128                     3.21
256                    21.31
512                    21.93
1024                   21.91
2048                   21.29
4096                   22.00
8192                   21.91
16384                  28.28
32768                  22.67
65536                  23.06
131072                 24.27
262144                 26.34
524288                 29.42
1048576                36.61
2097152                48.92
4194304                72.01
8388608               125.16
16777216              238.10
33554432              445.85
67108864              882.31
134217728            1754.03
268435456            3492.49
