# OSU MPI-ROCM Latency Test v5.7
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
2                       2.95
4                       3.00
8                       2.96
16                      3.00
32                      3.09
64                      3.12
128                     3.13
256                    19.73
512                    20.33
1024                   19.88
2048                   19.70
4096                   20.00
8192                   20.35
16384                  19.92
32768                  20.47
65536                  20.66
131072                 21.42
262144                 29.08
524288                 24.13
1048576                28.69
2097152                36.09
4194304                46.39
8388608                74.14
16777216              132.43
33554432              242.98
67108864              458.86
134217728             903.41
268435456            1792.68
