# OSU MPI-ROCM Latency Test v5.7
# Send Buffer on HOST (H) and Receive Buffer on HOST (H)
# Size          Latency (us)
2                       0.13
4                       0.13
8                       0.12
16                      0.13
32                      0.16
64                      0.15
128                     0.20
256                     1.07
512                     1.07
1024                    1.07
2048                    1.09
4096                    1.16
8192                    1.44
16384                   1.96
32768                   2.69
65536                   4.05
131072                  7.23
262144                 14.30
524288                 27.38
1048576                54.45
2097152               108.83
4194304               218.97
8388608               570.36
16777216             1477.17
33554432             3289.34
67108864             7175.91
134217728           14536.24
268435456           28932.21
